quartile,n,mean_hull,efg,share_3pt
Q1 (tightest),400,312.8051853495459,0.5,0.235
Q2,399,467.3262507578689,0.449874686716792,0.2656641604010025
Q3,399,580.5212022327131,0.4573934837092732,0.2832080200501253
Q4 (widest),399,799.1329324975618,0.4724310776942356,0.2982456140350877
