period,game_clock,team_id,hull_area,game
1,713.26,1610612761,529.0266653479999,01.01.2016.CHA.at.TOR
1,713.06,1610612761,507.91956622045,01.01.2016.CHA.at.TOR
1,712.54,1610612761,443.6824661295001,01.01.2016.CHA.at.TOR
1,712.34,1610612761,393.408027192,01.01.2016.CHA.at.TOR
1,712.14,1610612761,333.51696457240007,01.01.2016.CHA.at.TOR
1,711.94,1610612761,267.7319289801001,01.01.2016.CHA.at.TOR
1,711.74,1610612761,200.38755151589993,01.01.2016.CHA.at.TOR
1,711.54,1610612761,166.772338512,01.01.2016.CHA.at.TOR
1,711.34,1610612761,200.02514430755005,01.01.2016.CHA.at.TOR
1,711.14,1610612761,246.51849151669998,01.01.2016.CHA.at.TOR
1,710.94,1610612761,296.16340540379997,01.01.2016.CHA.at.TOR
1,710.74,1610612761,320.1737352130001,01.01.2016.CHA.at.TOR
1,710.54,1610612761,326.7706852582499,01.01.2016.CHA.at.TOR
1,710.34,1610612761,340.33336473094994,01.01.2016.CHA.at.TOR
1,710.14,1610612761,343.48276352794994,01.01.2016.CHA.at.TOR
1,709.94,1610612761,333.4136113483501,01.01.2016.CHA.at.TOR
1,709.74,1610612761,315.56806883280007,01.01.2016.CHA.at.TOR
1,709.54,1610612761,304.83768609345,01.01.2016.CHA.at.TOR
1,709.34,1610612761,303.9461672981,01.01.2016.CHA.at.TOR
1,709.14,1610612761,330.5764711118499,01.01.2016.CHA.at.TOR
1,708.46,1610612761,424.9007626416,01.01.2016.CHA.at.TOR
1,708.26,1610612761,446.70975691635,01.01.2016.CHA.at.TOR
1,708.06,1610612761,450.3456672844499,01.01.2016.CHA.at.TOR
1,707.86,1610612761,441.0574773647,01.01.2016.CHA.at.TOR
1,707.66,1610612761,427.0484517072,01.01.2016.CHA.at.TOR
1,707.46,1610612761,425.9442836238,01.01.2016.CHA.at.TOR
1,707.26,1610612761,423.22897531605014,01.01.2016.CHA.at.TOR
1,706.78,1610612761,415.10245621244997,01.01.2016.CHA.at.TOR
1,706.58,1610612761,421.1596835587001,01.01.2016.CHA.at.TOR
1,706.38,1610612761,430.54080340440004,01.01.2016.CHA.at.TOR
1,706.18,1610612761,434.5433131197501,01.01.2016.CHA.at.TOR
1,705.98,1610612761,436.9116726745999,01.01.2016.CHA.at.TOR
1,705.78,1610612761,456.97939230055,01.01.2016.CHA.at.TOR
1,705.58,1610612761,486.6465450681501,01.01.2016.CHA.at.TOR
1,705.38,1610612761,518.258889252,01.01.2016.CHA.at.TOR
1,705.18,1610612761,545.4768122999001,01.01.2016.CHA.at.TOR
1,704.98,1610612761,575.8765925064001,01.01.2016.CHA.at.TOR
1,704.78,1610612761,592.3265687513998,01.01.2016.CHA.at.TOR
1,704.58,1610612761,596.9972128500501,01.01.2016.CHA.at.TOR
1,704.38,1610612761,586.7700964065998,01.01.2016.CHA.at.TOR
1,704.18,1610612761,577.58793387125,01.01.2016.CHA.at.TOR
1,703.98,1610612761,571.5280986088501,01.01.2016.CHA.at.TOR
1,703.78,1610612761,556.2681402037499,01.01.2016.CHA.at.TOR
1,703.58,1610612761,542.3282522918998,01.01.2016.CHA.at.TOR
1,703.38,1610612761,526.5392046582,01.01.2016.CHA.at.TOR
1,703.18,1610612761,525.90866562015,01.01.2016.CHA.at.TOR
1,702.98,1610612761,527.7067222899,01.01.2016.CHA.at.TOR
1,702.78,1610612761,537.6983980176001,01.01.2016.CHA.at.TOR
1,702.26,1610612761,559.0396147670498,01.01.2016.CHA.at.TOR
