season,n_players,team_games,miles_per_team_game,off_miles_per_team_game,def_miles_per_team_game,avg_speed_mph_min_weighted
2013-14,482,2452,16.88348287112561,8.996574225122348,7.8868678629690026,4.198135268110727
2014-15,492,2454,16.8261206193969,9.00916870415648,7.817074164629176,4.177690804919043
2015-16,476,2456,16.98110749185668,9.103013029315962,7.878013029315961,4.2236288395573975
2016-17,486,2452,16.982830342577483,9.098572593800979,7.884257748776511,4.2280055090281214
2017-18,540,2448,17.241870915032685,9.234436274509802,8.007148692810457,4.307193204507768
2018-19,530,2452,18.16480424143556,9.830913539967373,8.333890701468192,4.223879117429651
2019-20,529,2106,17.967046533713198,9.69582146248813,8.27127255460589,4.184057042959005
2020-21,540,2160,17.943935185185186,9.674027777777779,8.269629629629629,4.205135692248103
2021-22,605,2450,17.825714285714287,9.58273469387755,8.242938775510204,4.161435064935064
2022-23,539,2452,17.940823817292006,9.647145187601959,8.293760195758564,4.1537034094972105
2023-24,572,2440,18.19950819672131,9.767827868852459,8.431639344262297,4.224523225307987
2024-25,569,2460,18.337154471544714,9.770365853658538,8.566951219512195,4.258458780878964
2025-26,582,2460,17.951666666666664,9.56028455284553,8.391544715447154,4.315459797712259
