game,period,secs_left,hull_area,made,shot_value
01.01.2016.CHA.at.TOR,2,86.0,668.8713233592575,false,2.0
01.01.2016.CHA.at.TOR,2,73.0,701.3201108600362,false,3.0
01.01.2016.CHA.at.TOR,2,64.0,650.233431661677,false,3.0
01.01.2016.CHA.at.TOR,2,49.9,550.878052960062,false,2.0
01.01.2016.CHA.at.TOR,2,37.9,1215.8913365174997,false,3.0
01.01.2016.CHA.at.TOR,2,5.8,672.3528585779626,false,3.0
01.01.2016.CHA.at.TOR,3,709.0,276.37141030225683,true,2.0
01.01.2016.CHA.at.TOR,3,677.0,243.59551121069904,false,3.0
01.01.2016.CHA.at.TOR,3,654.0,257.08702246663796,false,2.0
01.01.2016.CHA.at.TOR,3,651.0,615.947126179904,false,2.0
01.01.2016.CHA.at.TOR,3,641.0,518.7092469321569,true,2.0
01.01.2016.CHA.at.TOR,3,616.0,639.448429188139,false,3.0
01.01.2016.CHA.at.TOR,3,609.0,449.5458169049781,true,3.0
01.01.2016.CHA.at.TOR,3,590.0,554.8716804353087,false,2.0
01.01.2016.CHA.at.TOR,3,575.0,156.6685713282988,false,2.0
01.01.2016.CHA.at.TOR,3,572.0,551.9791724484646,false,2.0
01.01.2016.CHA.at.TOR,3,568.0,268.3073972979,false,2.0
01.01.2016.CHA.at.TOR,3,567.0,302.94265773903186,false,2.0
01.01.2016.CHA.at.TOR,3,565.0,496.85053029228703,false,2.0
01.01.2016.CHA.at.TOR,3,555.0,703.1154509448288,false,3.0
01.01.2016.CHA.at.TOR,3,547.0,623.2115865263239,false,2.0
01.01.2016.CHA.at.TOR,3,539.0,654.6584144771622,true,2.0
01.01.2016.CHA.at.TOR,3,503.0,606.2276887915571,true,2.0
01.01.2016.CHA.at.TOR,3,481.0,497.61509538290414,false,3.0
01.01.2016.CHA.at.TOR,3,465.0,567.2269506250904,false,2.0
01.01.2016.CHA.at.TOR,3,456.0,124.44986470915003,false,2.0
01.01.2016.CHA.at.TOR,3,426.0,486.98525400623987,false,2.0
01.01.2016.CHA.at.TOR,3,417.0,649.9476661833128,false,3.0
01.01.2016.CHA.at.TOR,3,413.0,578.5903720983537,true,2.0
01.01.2016.CHA.at.TOR,3,402.0,507.0961994763344,true,2.0
01.01.2016.CHA.at.TOR,3,379.0,486.13033872153545,false,2.0
01.01.2016.CHA.at.TOR,3,369.0,631.3984415093531,true,2.0
01.01.2016.CHA.at.TOR,3,346.0,432.7784319623297,false,3.0
01.01.2016.CHA.at.TOR,3,324.0,569.8354175872261,true,2.0
01.01.2016.CHA.at.TOR,3,304.0,340.5127629690127,false,2.0
01.01.2016.CHA.at.TOR,3,287.0,603.3144836163809,true,3.0
01.01.2016.CHA.at.TOR,3,259.0,477.760163596638,false,3.0
01.01.2016.CHA.at.TOR,3,250.0,463.9951321509111,false,3.0
01.01.2016.CHA.at.TOR,3,245.0,584.1910697978,true,2.0
01.01.2016.CHA.at.TOR,3,233.0,447.76053704595626,true,3.0
01.01.2016.CHA.at.TOR,3,206.0,964.3317200140693,true,3.0
01.01.2016.CHA.at.TOR,3,192.0,415.9738487958892,false,3.0
01.01.2016.CHA.at.TOR,3,171.0,627.808745513387,false,2.0
01.01.2016.CHA.at.TOR,3,157.0,740.0387555194499,false,2.0
01.01.2016.CHA.at.TOR,3,154.0,538.3450266000989,false,2.0
01.01.2016.CHA.at.TOR,3,131.0,406.07760362105716,false,2.0
01.01.2016.CHA.at.TOR,3,120.0,447.6983103019421,false,2.0
01.01.2016.CHA.at.TOR,3,120.0,447.6983103019421,false,2.0
01.01.2016.CHA.at.TOR,3,89.0,487.58381851530874,false,3.0
01.01.2016.CHA.at.TOR,3,63.0,589.963358451387,true,2.0
01.01.2016.CHA.at.TOR,3,46.8,487.48723614495213,true,3.0
01.01.2016.CHA.at.TOR,3,32.9,574.060564760097,false,3.0
01.01.2016.CHA.at.TOR,3,12.9,895.8446730542228,false,3.0
01.01.2016.CHA.at.TOR,3,1.2,765.494458947536,true,2.0
01.01.2016.CHA.at.TOR,4,707.0,594.6349202818272,true,3.0
01.01.2016.CHA.at.TOR,4,686.0,490.63396913524247,false,2.0
01.01.2016.CHA.at.TOR,4,682.0,600.5620431390375,false,2.0
01.01.2016.CHA.at.TOR,4,678.0,515.2571429543345,false,3.0
01.01.2016.CHA.at.TOR,4,671.0,753.8771267984982,false,2.0
01.01.2016.CHA.at.TOR,4,645.0,379.5372056521435,false,3.0
01.01.2016.CHA.at.TOR,4,620.0,567.3910912048844,true,3.0
01.01.2016.CHA.at.TOR,4,582.0,247.76955372833018,true,2.0
01.01.2016.CHA.at.TOR,4,557.0,578.2085635205018,false,2.0
01.01.2016.CHA.at.TOR,4,546.0,502.109913438285,true,2.0
01.01.2016.CHA.at.TOR,4,516.0,334.9559016675222,false,2.0
01.01.2016.CHA.at.TOR,4,510.0,710.5842792809449,true,3.0
01.01.2016.CHA.at.TOR,4,481.0,736.914364233638,true,2.0
01.01.2016.CHA.at.TOR,4,466.0,377.78096552522226,true,2.0
01.01.2016.CHA.at.TOR,4,449.0,619.6561035313517,false,2.0
01.01.2016.CHA.at.TOR,4,414.0,505.0937984996512,false,2.0
01.01.2016.CHA.at.TOR,4,402.0,666.3052676295525,false,3.0
01.01.2016.CHA.at.TOR,4,393.0,703.20996187728,false,3.0
01.01.2016.CHA.at.TOR,4,382.0,471.581839204543,false,2.0
01.01.2016.CHA.at.TOR,4,375.0,289.6141525552717,true,3.0
01.01.2016.CHA.at.TOR,4,344.0,696.0763225632161,true,2.0
01.01.2016.CHA.at.TOR,4,315.0,514.3184858912459,true,3.0
01.01.2016.CHA.at.TOR,4,294.0,465.8980109002923,false,3.0
01.01.2016.CHA.at.TOR,4,285.0,710.904819671221,true,3.0
01.01.2016.CHA.at.TOR,4,259.0,540.3684172997764,false,2.0
01.01.2016.CHA.at.TOR,4,247.0,349.4010093571929,false,3.0
01.01.2016.CHA.at.TOR,4,220.0,916.7795973983845,false,2.0
01.01.2016.CHA.at.TOR,4,208.0,599.4226220572785,true,3.0
01.01.2016.CHA.at.TOR,4,185.0,601.9467637105562,false,2.0
01.01.2016.CHA.at.TOR,4,174.0,777.8240181862753,true,3.0
01.01.2016.CHA.at.TOR,4,149.0,352.67512548837846,false,2.0
01.01.2016.CHA.at.TOR,4,116.0,248.3542641565615,false,3.0
01.01.2016.CHA.at.TOR,4,103.0,596.140411554626,false,3.0
01.01.2016.CHA.at.TOR,4,81.0,597.202807887925,false,2.0
01.01.2016.CHA.at.TOR,4,69.0,468.5595078092751,false,2.0
01.01.2016.CHA.at.TOR,4,49.9,607.0388040436071,false,2.0
01.01.2016.CHA.at.TOR,4,46.8,775.5582477682738,false,2.0
01.01.2016.CHA.at.TOR,4,18.9,594.1845250448667,false,3.0
01.01.2016.CHA.at.TOR,4,6.8,1120.189170641867,false,3.0
01.01.2016.DAL.at.MIA,1,700.0,594.389628736169,false,2.0
01.01.2016.DAL.at.MIA,1,674.0,555.9580217047871,false,3.0
01.01.2016.DAL.at.MIA,1,663.0,515.7192026985889,true,2.0
01.01.2016.DAL.at.MIA,1,643.0,711.7758975636201,false,3.0
01.01.2016.DAL.at.MIA,1,630.0,694.3343314022605,false,2.0
01.01.2016.DAL.at.MIA,1,607.0,715.8359654784722,false,3.0
01.01.2016.DAL.at.MIA,1,585.0,336.0986531132226,false,2.0
01.01.2016.DAL.at.MIA,1,572.0,464.55013446621285,false,2.0
01.01.2016.DAL.at.MIA,1,567.0,100.47781110326362,false,2.0
01.01.2016.DAL.at.MIA,1,565.0,518.303327564347,true,2.0
01.01.2016.DAL.at.MIA,1,547.0,314.76054981129994,false,2.0
01.01.2016.DAL.at.MIA,1,535.0,505.3114654703338,false,2.0
01.01.2016.DAL.at.MIA,1,525.0,310.5649832541659,true,2.0
01.01.2016.DAL.at.MIA,1,507.0,383.83057155139653,false,2.0
01.01.2016.DAL.at.MIA,1,478.0,490.0679422903687,false,2.0
01.01.2016.DAL.at.MIA,1,469.0,524.6656844461511,true,2.0
01.01.2016.DAL.at.MIA,1,453.0,331.68170507007727,false,2.0
01.01.2016.DAL.at.MIA,1,448.0,435.06536233469535,true,2.0
01.01.2016.DAL.at.MIA,1,434.0,570.3049868768644,false,2.0
01.01.2016.DAL.at.MIA,1,426.0,764.116787650491,false,2.0
01.01.2016.DAL.at.MIA,1,417.0,478.4983989838284,false,3.0
01.01.2016.DAL.at.MIA,1,407.0,720.527505028693,false,3.0
01.01.2016.DAL.at.MIA,1,396.0,1092.421927444941,true,2.0
01.01.2016.DAL.at.MIA,1,373.0,550.2548479694076,true,2.0
01.01.2016.DAL.at.MIA,1,337.0,380.70351273978264,false,2.0
01.01.2016.DAL.at.MIA,1,330.0,155.42628955648726,true,3.0
01.01.2016.DAL.at.MIA,1,310.0,330.3361615045021,true,2.0
01.01.2016.DAL.at.MIA,1,292.0,700.7203699965752,true,3.0
01.01.2016.DAL.at.MIA,1,274.0,445.31642527025105,false,2.0
