player_id,live_seconds,dist_ft,mean_speed,p95_speed,max_speed,frames,dist_miles,live_minutes,game_id,side,team_id,team_abbrev,player,jersey,position,game
201587,2418.450000000001,15251.101186767299,6.322868832144662,15.01888256705242,24.789605572609556,60464,2.888466133857443,40.30750000000002,0021500492,visitor,1610612766,CHA,Nicolas Batum,5,G-F,01.01.2016.CHA.at.TOR
200768,2386.250000000001,13787.713562325805,5.7923388626251215,13.726062811776877,24.830950668693035,59655,2.61130938680413,39.77083333333335,0021500492,home,1610612761,TOR,Kyle Lowry,7,G,01.01.2016.CHA.at.TOR
202689,2109.4100000000008,13198.482472336886,6.2754177896773,14.537262605555725,24.863628653388908,52741,2.4997125894577437,35.156833333333346,0021500492,visitor,1610612766,CHA,Kemba Walker,15,G,01.01.2016.CHA.at.TOR
201942,2128.370000000001,12680.934471714454,5.973900026657754,14.293689422709216,23.142207145290108,53216,2.4016921347944042,35.47283333333335,0021500492,home,1610612761,TOR,DeMar DeRozan,10,G,01.01.2016.CHA.at.TOR
203469,1736.4600000000005,11022.28414471606,6.36472491389052,16.167425869622257,24.95112442354768,43413,2.0875538152871327,28.941000000000006,0021500492,visitor,1610612766,CHA,Cody Zeller,40,C-F,01.01.2016.CHA.at.TOR
1626163,1574.4600000000007,10540.775414309684,6.717648756768009,15.555233733380385,24.819900727528495,39366,1.9963589799828947,26.24100000000001,0021500492,visitor,1610612766,CHA,Frank Kaminsky,44,C,01.01.2016.CHA.at.TOR
203087,1615.7100000000007,10356.089963253582,6.424365864035482,15.033739490312882,24.921485253157645,40395,1.9613806748586329,26.92850000000001,0021500492,visitor,1610612766,CHA,Jeremy Lamb,3,G,01.01.2016.CHA.at.TOR
101107,1533.8000000000004,9529.747990089152,6.2293672489708785,14.727503040647424,24.592694546625083,38348,1.8048765132744606,25.56333333333334,0021500492,visitor,1610612766,CHA,Marvin Williams,2,F,01.01.2016.CHA.at.TOR
202685,1392.0800000000004,8679.380288822556,6.251323063842437,15.377041866440269,24.943191210807743,34806,1.6438220243982113,23.201333333333338,0021500492,home,1610612761,TOR,Jonas Valanciunas,17,C,01.01.2016.CHA.at.TOR
202687,1389.0800000000008,8659.790468034484,6.248769029544254,14.87579870965214,24.994949100902403,34724,1.640111831067137,23.151333333333348,0021500492,home,1610612761,TOR,Bismack Biyombo,8,C-F,01.01.2016.CHA.at.TOR
201960,1453.6100000000006,8619.421125020417,5.946166300381799,14.088993314831166,24.652777637573646,36345,1.6324661221629577,24.226833333333342,0021500492,home,1610612761,TOR,DeMarre Carroll,5,F,01.01.2016.CHA.at.TOR
202335,1320.480000000001,8141.741035620846,6.181035274147803,13.681493890026669,24.707268408776518,33012,1.5419964082615238,22.008000000000017,0021500492,home,1610612761,TOR,Patrick Patterson,54,F,01.01.2016.CHA.at.TOR
2449,1233.1500000000005,7967.689104777128,6.478996949399796,15.475631077614668,21.602024096428732,30833,1.5090320274199105,20.55250000000001,0021500492,home,1610612761,TOR,Luis Scola,4,F,01.01.2016.CHA.at.TOR
203082,1249.9300000000003,7869.987324561677,6.312140469901021,14.871014176074487,24.98107869081514,31248,1.4905279023791056,20.832166666666673,0021500492,home,1610612761,TOR,Terrence Ross,31,F-G,01.01.2016.CHA.at.TOR
203798,1189.1500000000005,7405.5740294210145,6.246015705269016,14.805170475602585,24.839404196027633,29732,1.4025708389054952,19.819166666666675,0021500492,visitor,1610612766,CHA,PJ Hairston,19,F-G,01.01.2016.CHA.at.TOR
202709,1044.8300000000008,7046.647631760419,6.76295952505222,14.44955110895761,24.79258156068528,26122,1.3345923545000793,17.413833333333347,0021500492,home,1610612761,TOR,Cory Joseph,6,G,01.01.2016.CHA.at.TOR
203148,974.2900000000005,6181.150467043461,6.360306027762088,14.541829789438488,24.703562703608466,24355,1.1706724369400494,16.238166666666675,0021500492,visitor,1610612766,CHA,Brian Roberts,22,G,01.01.2016.CHA.at.TOR
201946,741.3500000000004,4655.308317186454,6.294777471641072,15.443064634745733,24.60587203855481,18530,0.8816871812853132,12.35583333333334,0021500492,visitor,1610612766,CHA,Tyler Hansbrough,50,F,01.01.2016.CHA.at.TOR
201949,301.9200000000002,1915.7157258328825,6.357841038319767,12.864300372050167,21.778358465350472,7548,0.36282494807440957,5.032000000000003,0021500492,home,1610612761,TOR,James Johnson,3,F,01.01.2016.CHA.at.TOR
101123,1842.3900000000012,11190.973725904912,6.098126336646578,14.640949563630752,24.96000211589034,45883,2.1195025996032033,30.70650000000002,0021500491,home,1610612748,MIA,Gerald Green,14,F,01.01.2016.DAL.at.MIA
202083,1736.0600000000009,11112.368442309626,6.4279106280407,14.95490040924385,24.96929342657054,43286,2.1046152352859138,28.934333333333345,0021500491,visitor,1610612742,DAL,Wesley Matthews,23,G-F,01.01.2016.DAL.at.MIA
202355,1804.4900000000002,11032.973850263375,6.13987974402521,14.524234930359711,24.621480055249837,45018,2.0895783807317,30.074833333333338,0021500491,home,1610612748,MIA,Hassan Whiteside,21,C,01.01.2016.DAL.at.MIA
201609,1700.4600000000005,10913.1104947928,6.444067829151201,15.067904905806085,24.98454094537524,42466,2.0668769876501516,28.341000000000008,0021500491,home,1610612748,MIA,Goran Dragic,7,G,01.01.2016.DAL.at.MIA
2547,1889.120000000001,10903.495046867602,5.795004236107449,13.987002433055478,24.287652210330254,47094,2.065055880088561,31.48533333333335,0021500491,home,1610612748,MIA,Chris Bosh,1,F,01.01.2016.DAL.at.MIA
2736,1638.3400000000001,10621.026062574685,6.511784342638301,15.188589650214142,24.87197301962269,40884,2.0115579663967207,27.305666666666667,0021500491,home,1610612748,MIA,Luol Deng,9,F,01.01.2016.DAL.at.MIA
202718,1502.4800000000005,9953.470256600796,6.654132258689868,14.951293209130936,24.615676960492614,37478,1.8851269425380297,25.04133333333334,0021500491,visitor,1610612742,DAL,Chandler Parsons,25,F,01.01.2016.DAL.at.MIA
204020,1451.710000000001,9336.573800765736,6.454765379462003,15.378053895907351,24.905581815238218,36142,1.7682904925692682,24.195166666666683,0021500491,home,1610612748,MIA,Tyler Johnson,8,G,01.01.2016.DAL.at.MIA
200826,1452.8200000000008,8791.133745413761,6.078112531421982,14.383093412899763,24.734054661561363,36241,1.6649874517829093,24.21366666666668,0021500491,visitor,1610612742,DAL,Jose Juan Barea,5,G,01.01.2016.DAL.at.MIA
1717,1501.150000000001,8686.918834976455,5.813422186178075,13.301779490929837,23.30841718256624,37453,1.6452497793516014,25.019166666666685,0021500491,visitor,1610612742,DAL,Dirk Nowitzki,41,F,01.01.2016.DAL.at.MIA
2585,1387.3800000000006,8365.169530696288,6.056710821406484,14.532925376509139,23.81713422916201,34607,1.5843124111167213,23.123000000000008,0021500491,visitor,1610612742,DAL,Zaza Pachulia,27,C,01.01.2016.DAL.at.MIA
2757,1177.1400000000008,7658.244711486855,6.534627842944848,15.028486292696524,24.956272970070938,29324,1.4504251347512982,19.619000000000014,0021500491,home,1610612748,MIA,Beno Udrih,19,G,01.01.2016.DAL.at.MIA
101114,1146.8900000000003,7530.459046626532,6.589542312637562,14.348195365622935,24.09577932441811,28619,1.426223304285328,19.114833333333337,0021500491,visitor,1610612742,DAL,Deron Williams,8,G,01.01.2016.DAL.at.MIA
101109,1226.0300000000002,7403.9849778741245,6.059653495819251,14.280395226053436,24.85286806888427,30548,1.4022698821731296,20.433833333333336,0021500491,visitor,1610612742,DAL,Raymond Felton,2,G,01.01.2016.DAL.at.MIA
101111,1174.8000000000002,7339.260568005445,6.268208106075183,15.04752452439504,24.91384065132847,29270,1.3900114712131524,19.580000000000002,0021500491,visitor,1610612742,DAL,Charlie Villanueva,3,F,01.01.2016.DAL.at.MIA
2548,1030.6100000000001,6534.025570750968,6.365679750305578,14.487990728856389,24.565549556260528,25699,1.237504842945259,17.176833333333335,0021500491,home,1610612748,MIA,Dwyane Wade,3,G,01.01.2016.DAL.at.MIA
203939,769.8500000000001,5111.606743686002,6.662557924520173,15.584324335704665,24.172420119723444,19217,0.9681073378193186,12.830833333333336,0021500491,visitor,1610612742,DAL,Dwight Powell,7,F-C,01.01.2016.DAL.at.MIA
201580,526.0200000000002,3391.812748530903,6.473441929474973,14.73062786552522,24.444444244971663,13069,0.6423887781308528,8.767000000000003,0021500491,visitor,1610612742,DAL,JaVale McGee,11,C,01.01.2016.DAL.at.MIA
2405,525.0500000000009,3228.6903785653544,6.1779085238078935,14.102125427102372,23.069121316425495,13072,0.611494389879802,8.750833333333347,0021500491,home,1610612748,MIA,Amar'e Stoudemire,5,F-C,01.01.2016.DAL.at.MIA
